artist,song,tag,content,tag_2,prompt_baseline_gemma,sentence,generated_content,id
ABBA,Dancing Queen,[Verse 1],"Friday night and the lights are low
Looking out for a place to go
Where they play the right music, getting in the swing
You come to look for a king
Anybody could be that guy
Night is young and the music's high
With a bit of rock music, everything is fine
You're in the mood for a dance
And when you get the chance",[Verse],"Write the [Verse] of a song titled ""Dancing Queen"" in the style of ""ABBA"". Generate only 4 sentences.","Write the [Verse] of a song titled ""Dancing Queen"" in the style of ""ABBA"". Generate only 4 sentences.","(Verse)
Neon lights and sticky floors,
Glitter spills and laughter pours.
Music pumping, hearts alight,
Dancing queen, under the spotlight.",10
ABBA,Dancing Queen,[Chorus],"You are the dancing queen
Young and sweet, only seventeen
Dancing queen
Feel the beat from the tambourine, oh yeah
You can dance, you can jive
Having the time of your life
Ooh, see that girl, watch that scene
Digging the dancing queen
You might also like",[Chorus],"Write the [Chorus] of a song titled ""Dancing Queen"" in the style of ""ABBA"". Generate only 4 sentences.","Write the [Chorus] of a song titled ""Dancing Queen"" in the style of ""ABBA"". Generate only 4 sentences.","(Chorus)
Dancing queen, shining bright,
Under disco lights so warm and light.
Spinning round, a magical sight,
Queen of the night, dancing through the night.",11
ABBA,Dancing Queen,[Verse 2],"You're a teaser, you turn 'em on
Leave 'em burning and then you're gone
Looking out for another, anyone will do
You're in the mood for a dance
And when you get the chance",[Verse],"Write the [Verse] of a song titled ""Dancing Queen"" in the style of ""ABBA"". Generate only 4 sentences.","Write the [Verse] of a song titled ""Dancing Queen"" in the style of ""ABBA"". Generate only 4 sentences.","(Verse)
Neon lights are blinding bright,
Floor is pulsing, a pulsing light.
She stands alone, a silent stare,
But then she smiles, and lights up there.",12
ABBA,Dancing Queen,[Chorus],"You are the dancing queen
Young and sweet, only seventeen
Dancing queen
Feel the beat from the tambourine, oh yeah
You can dance, you can jive
Having the time of your life
Ooh, see that girl, watch that scene
Digging the dancing queen",[Chorus],"Write the [Chorus] of a song titled ""Dancing Queen"" in the style of ""ABBA"". Generate only 4 sentences.","Write the [Chorus] of a song titled ""Dancing Queen"" in the style of ""ABBA"". Generate only 4 sentences.","(Chorus)
Dancing queen, shining bright,
Lighting up the disco night.
Spinning round in satin dreams,
Your laughter echoes in the beams.",13
ABBA,Dancing Queen,[Outro],Digging the dancing queen,[Outro],"Write the [Outro] of a song titled ""Dancing Queen"" in the style of ""ABBA"". Generate only 4 sentences.","Write the [Outro] of a song titled ""Dancing Queen"" in the style of ""ABBA"". Generate only 4 sentences.","The music fades, a gentle chime,
A final twirl, a whispered rhyme.
Lights rise slowly, casting gold,
Dancing queen, your legend unfolds.",14
AJR,Weak,[Verse 1],"""No thank you"" is what I should've said
I should be in bed
But temptations of trouble on my tongue
Troubles yet to come",[Verse],"Write the [Verse] of a song titled ""Weak"" in the style of ""AJR"". Generate only 4 sentences.","Write the [Verse] of a song titled ""Weak"" in the style of ""AJR"". Generate only 4 sentences.","(Verse)
Sun bleeds gold across the pane,
Empty coffee cup, whispers in the rain.
Strength is fleeting, shadows start to creep,
Maybe weakness is just letting things sleep.",15
AJR,Weak,[Pre-Chorus],"One sip, bad for me
One hit, bad for me
One kiss, bad for me
But I give in so easily
And ""no thank you"" is how it should've gone
I should stay strong",[Pre-Chorus],"Write the [Pre-Chorus] of a song titled ""Weak"" in the style of ""AJR"". Generate only 4 sentences.","Write the [Pre-Chorus] of a song titled ""Weak"" in the style of ""AJR"". Generate only 4 sentences.","(Synths slowly building, whimsical melody ascends)
Gravity's a burden, holding me down
But I'll shake it off, turn weakness around
Got a fire in my heart, a spark to ignite
In the morning light, I'll rise with all my might.",16
AJR,Weak,[Chorus],"But I'm weak, and what's wrong with that?
Boy, oh boy I love it when I fall for that
I'm weak, and what's wrong with that?
Boy, oh boy I love it when I fall for that
I'm weak
Ooh waaaaaaa ee ya ee ya
Ooh waaaaaaa ee ya ee ya
But I'm weak, and what's wrong with that?
Boy, oh boy I love it when I fall for that
(Boy, oh boy I love it when I fall for that)
See AJR LiveGet tickets as low as $46You might also like",[Chorus],"Write the [Chorus] of a song titled ""Weak"" in the style of ""AJR"". Generate only 4 sentences.","Write the [Chorus] of a song titled ""Weak"" in the style of ""AJR"". Generate only 4 sentences.","(Chorus)
Weak, like the spiderweb that caught my heart,
Tangled in your whispers, tearing me apart.
But I'm learning to unravel, let the sunshine in,
Stronger than the shadows, where your memories have been.",17
AJR,Weak,[Verse 2],"No thank you
They call me after dark, I don't want no part
My habits, they hold me like a grudge
I promise I won't budge",[Verse],"Write the [Verse] of a song titled ""Weak"" in the style of ""AJR"". Generate only 4 sentences.","Write the [Verse] of a song titled ""Weak"" in the style of ""AJR"". Generate only 4 sentences.","(Verse)
Sun sets low, paints the clouds in gold
Like memories we'll never hold
Weaving stories, shadows growing bold
But sometimes strength is letting go, you know",18
AJR,Weak,[Pre-Chorus],"One sip, bad for me
One hit, bad for me
One kiss, bad for me
But I give in so easily
And ""no thank you"" is how it should've gone
I should stay strong",[Pre-Chorus],"Write the [Pre-Chorus] of a song titled ""Weak"" in the style of ""AJR"". Generate only 4 sentences.","Write the [Pre-Chorus] of a song titled ""Weak"" in the style of ""AJR"". Generate only 4 sentences.","(Soft, ethereal synths and a gentle drum loop build)
Empty coffee cups and silence cling
To the air like whispers of a memory thing
But your eyes hold secrets, a whispered plea
In this fragile silence, I feel weak.",19
AJR,Weak,[Chorus],"But I'm weak, and what's wrong with that?
Boy, oh boy I love it when I fall for that
I'm weak, and what's wrong with that?
Boy, oh boy I love it when I fall for that
I'm weak
Ooh waaaaaaa ee ya ee ya
Ooh waaaaaaa ee ya ee ya
But I'm weak, and what's wrong with that?
Boy, oh boy I love it when I fall for that",[Chorus],"Write the [Chorus] of a song titled ""Weak"" in the style of ""AJR"". Generate only 4 sentences.","Write the [Chorus] of a song titled ""Weak"" in the style of ""AJR"". Generate only 4 sentences.","(Chorus)
Weak, that's the word they whisper,
Echoing in this hollow chamber.
But strength isn't measured in muscles,
It's in the courage to rise after a tremor.",20
AJR,Weak,[Bridge],"We, we fall for that
Wake up, we fall again
We, we fall for that
Can't wait to fall again",[Bridge],"Write the [Bridge] of a song titled ""Weak"" in the style of ""AJR"". Generate only 4 sentences.","Write the [Bridge] of a song titled ""Weak"" in the style of ""AJR"". Generate only 4 sentences.","(Bridge)
Gravity's a whisper in the walls,
Shadows stretching, secrets recall.
Strength's a mask we wear too thin,
But vulnerability's where freedom begins.",21
AJR,Weak,[Pre-Chorus],"One sip, bad for me
One hit, bad for me
One kiss, bad for me
But I give in so easily
And no thank you is how it should've gone
I should stay strong",[Pre-Chorus],"Write the [Pre-Chorus] of a song titled ""Weak"" in the style of ""AJR"". Generate only 4 sentences.","Write the [Pre-Chorus] of a song titled ""Weak"" in the style of ""AJR"". Generate only 4 sentences.","(Synths cascade in, playful and whimsical)
Empty coffee cups, sunrise through the blinds
Weaving through the city, shadows stretching behind
But your eyes hold oceans, a depth I can't define
Maybe I'm just weak, lost in your watery shine.",22
AJR,Weak,[Chorus],"But I'm weak, and what's wrong with that?
Boy, oh boy I love it when I fall for that
I'm weak, and what's wrong with that?
Boy, oh boy I love it when I fall for that
I'm weak
Go!
Ooh waaaaaaa ee ya ee ya
Ooh waaaaaaa ee ya ee ya
But I'm weak, and what's wrong with that?
Boy, oh boy I love it when I fall for that
Ooh waaaaaaa ee ya ee yaaaaa
Ooh waaaaaaa ee ya ee ya
Ooh waaaaaaa ee ya ee yaaaaa
Ooh waaaaaaa ee ya ee yaaaaa",[Chorus],"Write the [Chorus] of a song titled ""Weak"" in the style of ""AJR"". Generate only 4 sentences.","Write the [Chorus] of a song titled ""Weak"" in the style of ""AJR"". Generate only 4 sentences.","(Chorus)
Weak, like a breeze that whispers lies
Holding secrets in brittle sighs
Strength in shadows, hidden in disguise
But I'll rise above, reach for the skies",23
Alec Benjamin,The Knife in my Back,[Verse 1],"I'm slowly learning
That the things you promised me
Are burning like the embers
Of a thousand willow trees
And every single secret
Has been broadcast like TV
Now all the threads are severed
That were tying you to me",[Verse],"Write the [Verse] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Write the [Verse] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Shadows stretch across the bedroom floor,
Memories echo in whispers I can't ignore.
The knife in my back, a silent blade,
Twisting slowly, leaving scars unmade.",24
Alec Benjamin,The Knife in my Back,[Pre-Chorus],"I thought we were friends
But now we're enemies
I thought we were friends
But now we're enemies",[Pre-Chorus],"Write the [Pre-Chorus] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Write the [Pre-Chorus] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Shadows linger, whispers cling to the night,
Memories echo in the hollow of my sight.
The echo of your laughter, a haunting refrain,
But the knife in my back whispers, ""You'll never win again.""",25
Alec Benjamin,The Knife in my Back,[Chorus],"Pull your knife out of my back
Your blood runs black
I was just surprised at how you turned on me so fast
I let you in
I held you close
My blood flows like a river 'cause I trusted you the most
And now I know it's over (Woo-ooh-ah-oooh)",[Chorus],"Write the [Chorus] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Write the [Chorus] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Shadows stretching, whispers growing bold,
Knife in my back, story untold.
Memories unravel, secrets unfold,
Time to face the darkness, brave and bold.",26
Alec Benjamin,The Knife in my Back,[Post-Chorus],"And now I know it's over (Woo-ooh-ah-oooh)
And now I know it's over (Woo-ooh-ah-oooh)
And now I know it's over (Woo-ooh-ah-oooh)
You might also like",[Post-Chorus],"Write the [Post-Chorus] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Write the [Post-Chorus] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Shadows linger in the kitchen glow,
Memories echo in the dishes' flow.
But I won't crumble, won't let tears grow,
The knife in my back, a story I'll let unfold.",27
Alec Benjamin,The Knife in my Back,[Verse 2],"I was so naive
I even let you in my home
Took you out for dinner and let you wear my clothes
I can't even breathe
I have your scent still in my nose
It's like I almost miss you
I should have known",[Verse],"Write the [Verse] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Write the [Verse] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Shadows linger in the hallway, late-night whispers fill the air
Heart a hummingbird, trapped in amber, fear a burden I must bear
Cold steel whispers promises, a silent remedy to pain
But is this liberation, or just another blade in the rain?",28
Alec Benjamin,The Knife in my Back,[Pre-Chorus],"I thought we were friends
But now we're enemies
I thought we were friends
But now we're enemies",[Pre-Chorus],"Write the [Pre-Chorus] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Write the [Pre-Chorus] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Shadows linger in the hallway, memory's a dusty frame
There's a silence in this silence that whispers your name
But I'm not the one who cracks, the one who sheds a tear
There's a knife in my back, but I won't let it pierce.",29
Alec Benjamin,The Knife in my Back,[Chorus],"Pull your knife out of my back
Your blood runs black
I was just surprised at how you turned on me so fast
I let you in
I held you close
My blood flows like a river 'cause I trusted you the most
And now I know it's over (Woo-ooh-ah-oooh)",[Chorus],"Write the [Chorus] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Write the [Chorus] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Shadows stretch in corners dim,
Memories echo in this hymn.
The knife in my back, a silent friend,
But I'll rise above, until the very end.",30
Alec Benjamin,The Knife in my Back,[Bridge],"And now I know it's over (Woo-ooh-ah-oooh)
And now I know it's over (Woo-ooh-ah-oooh)
And now I know it's over (Woo-ooh-ah-oooh)",[Bridge],"Write the [Bridge] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Write the [Bridge] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Shadows stretching, whispers growing bold,
Memories unravel, secrets unfold.
The blade still gleams, a silver tear,
Each heartbeat echoes in the passing year.",31
Alec Benjamin,The Knife in my Back,[Pre-Chorus],"I thought we were friends
But now we're enemies
I thought we were friends
But now we're enemies",[Pre-Chorus],"Write the [Pre-Chorus] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Write the [Pre-Chorus] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Shadows linger in the kitchen glow,
Memories echo in the dishes' flow.
The silence whispers secrets old,
A knife in my back, but I let it unfold.",32
Alec Benjamin,The Knife in my Back,[Chorus],"Pull your knife out of my back
Your blood runs black
I was just surprised at how you turned on me so fast
I let you in
I held you close
My blood flows like a river 'cause I trusted you the most
And now I know it's over (Woo-ooh-ah-oooh)",[Chorus],"Write the [Chorus] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Write the [Chorus] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Shadows linger, whispers in the night,
Knife in my back, a haunting, silent fight.
Memories unravel, secrets I can't hide,
In this fragile balance, with nowhere to hide.",33
Alec Benjamin,The Knife in my Back,[Outro],"And now I know it's over (Woo-ooh-ah-oooh)
And now I know it's over (Woo-ooh-ah-oooh)
And now I know it's over (Woo-ooh-ah-oooh)",[Outro],"Write the [Outro] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Write the [Outro] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Shadows stretch, a silent plea,
Memories whisper, secrets set free.
The wound still bleeds, a haunting trace,
But in the silence, peace finds its space.",34
Alessia Cara,Growing Pains,[Intro],"You're on your own, kid
You are",[Intro],"Write the [Intro] of a song titled ""Growing Pains"" in the style of ""Alessia Cara"". Generate only 4 sentences.","Write the [Intro] of a song titled ""Growing Pains"" in the style of ""Alessia Cara"". Generate only 4 sentences.","(Intro)
Acoustic strum, gentle and slow,
Memories echo in the afterglow.
Growing pains, whispers in the night,
Shadows linger, holding on tight.",35
Alessia Cara,Growing Pains,[Verse 1],"Make my way through the motions, I try to ignore it
But home's looking farther the closer I get
Don't know why I can't see the end
Is it over yet? Hmm
A short leash and a short fuse don't match
They tell me it ain't that bad, ""Now, don't you overreact""
So I just hold my breath
Don't know why I can't see the sun when young should be fun (Fun)",[Verse],"Write the [Verse] of a song titled ""Growing Pains"" in the style of ""Alessia Cara"". Generate only 4 sentences.","Write the [Verse] of a song titled ""Growing Pains"" in the style of ""Alessia Cara"". Generate only 4 sentences.","(Verse)
Sunsets bleeding into midnight, shadows stretching on the wall
Caught between childhood's laughter and the whispers of adulthood's call
Growing pains, a bittersweet symphony, a melody of change
Learning to fly while tethered to the whispers of an endless range.",36
Alessia Cara,Growing Pains,[Pre-Chorus],"And I guess the bad can get better
Gotta be wrong before it's right
Every happy phrase engraved in my mind
And I've always been a go-getter
There's truth in every word I write
But still, the growing pains, growing pains
They're keeping me up at night",[Pre-Chorus],"Write the [Pre-Chorus] of a song titled ""Growing Pains"" in the style of ""Alessia Cara"". Generate only 4 sentences.","Write the [Pre-Chorus] of a song titled ""Growing Pains"" in the style of ""Alessia Cara"". Generate only 4 sentences.","(Pre-Chorus)
Shadows linger in the corner of my room
Memories I'm desperate to erase soon
Growing pains, a symphony of sighs
But I'll learn to dance through the tears in my eyes.",37
Alessia Cara,Growing Pains,[Chorus],"Hey, hey, hey, hey
Hey, hey, hey, hey
Hey, hey, hey, hey
Hey, hey, hey, hey
And I can't hide 'cause growing pains are keeping me up at night
Hey, hey, hey, hey
Hey, hey, hey, hey
Hey, hey, hey, hey
Hey, hey, hey, hey
And I can't hide 'cause growing pains are keeping me up at night
You might also like",[Chorus],"Write the [Chorus] of a song titled ""Growing Pains"" in the style of ""Alessia Cara"". Generate only 4 sentences.","Write the [Chorus] of a song titled ""Growing Pains"" in the style of ""Alessia Cara"". Generate only 4 sentences.","(Chorus)
Growing pains, whispers in the night
Shadows stretching, holding tight
Mirror shows a stranger in the glow
But I'll learn to love the scars I grow",38
Alessia Cara,Growing Pains,[Verse 2],"Try to mend what's left of my content incomprehension
As I take on the stress of the mess that I've made
Don't know if I even care for ""grown"" if it's just alone, yeah",[Verse],"Write the [Verse] of a song titled ""Growing Pains"" in the style of ""Alessia Cara"". Generate only 4 sentences.","Write the [Verse] of a song titled ""Growing Pains"" in the style of ""Alessia Cara"". Generate only 4 sentences.","(Verse)
Sun sets low, paints the walls in gold,
Shadows stretching, secrets unfold.
Growing pains, whispers in the night,
Longing for freedom, chasing the light.",39
Alessia Cara,Growing Pains,[Pre-Chorus],"And I guess the bad can get better
Gotta be wrong before it's right
Every happy phrase engraved in my mind
I've always been a go-getter
There's truth in every word I write
But still, the growing pains, growing pains
They're keeping me up at night",[Pre-Chorus],"Write the [Pre-Chorus] of a song titled ""Growing Pains"" in the style of ""Alessia Cara"". Generate only 4 sentences.","Write the [Pre-Chorus] of a song titled ""Growing Pains"" in the style of ""Alessia Cara"". Generate only 4 sentences.","(Pre-Chorus)
Sunsets bleeding into midnight skies
Shadows stretching, whispers in your sighs
Growing pains, a melody of tears
Shadows whispering that you're not okay here.",40
Alessia Cara,Growing Pains,[Chorus],"Hey, hey, hey, hey
Hey, hey, hey, hey
Hey, hey, hey, hey
Hey, hey, hey, hey
And I can't hide 'cause growing pains are keeping me up at night
Hey, hey, hey, hey
Hey, hey, hey, hey
Hey, hey, hey, hey
Hey, hey, hey, hey
And I can't hide 'cause growing pains are keeping me up at night",[Chorus],"Write the [Chorus] of a song titled ""Growing Pains"" in the style of ""Alessia Cara"". Generate only 4 sentences.","Write the [Chorus] of a song titled ""Growing Pains"" in the style of ""Alessia Cara"". Generate only 4 sentences.","(Chorus)
Sun sets low, paints the sky in gold
Growing pains, stories untold
Shadows shift, whispers in the night
Learning lessons, holding on tight.",41
Alessia Cara,Growing Pains,[Outro],"Starting to look like Ms. Know-It-All can't take her own advice
Can't find pieces of my peace of mind
I cry more than I want to admit
But I can't lie to myself, to anyone
'Cause phoning it in isn't any fun
Can't run back to my youth the way I want to
The days my brother was quicker to fool
AM radio, not much to do
Used monsters as an excuse to lie awake
Now the monsters are the ones that I have to face
No Band-Aids for the growing pains (Hey, hey, hey, hey)
Oh yeah, yeah, yeah (Hey, hey, hey, hey)
(Hey, hey, hey, hey, hey)
No, no, no Band-Aids for the growing pains",[Outro],"Write the [Outro] of a song titled ""Growing Pains"" in the style of ""Alessia Cara"". Generate only 4 sentences.","Write the [Outro] of a song titled ""Growing Pains"" in the style of ""Alessia Cara"". Generate only 4 sentences.","Shadows linger, memories unwind,
Growing pains, a bittersweet design.
But through the cracks, a sunbeam finds,
New strength emerges, one of a kind.",42
Anne-Marie,Bad Girlfriend,[Intro],"I'm a bad girlfriend
I'm a bad girlfriend
(Huh)",[Intro],"Write the [Intro] of a song titled ""Bad Girlfriend"" in the style of ""Anne-Marie"". Generate only 4 sentences.","Write the [Intro] of a song titled ""Bad Girlfriend"" in the style of ""Anne-Marie"". Generate only 4 sentences.","(Uplifting piano melody begins)

Soft synths and a driving bassline paint the air,
As I sing of love's dark side, a toxic affair.
Her sweet words a veil, hiding intentions cold,
Bad girlfriend, she's a story I'm told.",43
Anne-Marie,Bad Girlfriend,[Verse 1],"You cancel plans for me, I cancel ours on you
Say I'd be back early, I don't get in 'til 2
You ask me where I've been, I tell you something vague
Think I messed up again, what can I say?",[Verse],"Write the [Verse] of a song titled ""Bad Girlfriend"" in the style of ""Anne-Marie"". Generate only 4 sentences.","Write the [Verse] of a song titled ""Bad Girlfriend"" in the style of ""Anne-Marie"". Generate only 4 sentences.","(Verse)
Red flags like a rainbow after rain
She's got a smile that hides a wicked stain
Always jealous, always picking fights
Bad for my soul, this toxic delight",44
Anne-Marie,Bad Girlfriend,[Pre-Chorus 1],"Your mum said that she hates me, thinks I'm fucking lazy
Your friends keep on telling you to leave me 'cause I'm crazy
I do some shit you can't forgive
But you better get used to it",[Pre-Chorus],"Write the [Pre-Chorus] of a song titled ""Bad Girlfriend"" in the style of ""Anne-Marie"". Generate only 4 sentences.","Write the [Pre-Chorus] of a song titled ""Bad Girlfriend"" in the style of ""Anne-Marie"". Generate only 4 sentences.","(Pre-Chorus)
Said she loved me, but her eyes were cold
Empty promises, stories untold
She'd drain my energy, leave me drained and low
Bad girlfriend vibes, gotta let her go",45
Anne-Marie,Bad Girlfriend,[Chorus],"I'm a bad girlfriend, I'm a bad girlfriend
You tell me your birthday, I forgot again
I'm a bad girlfriend, I'm a bad girlfriend
I can see you calling, I'm not answering
I'm laughing but I don't think that you're funny
I'm staying 'cause you give me all your money
I'm a bad girlfriend
I'm a bad girlfriend (friend)
Huh, yeah
See Anne-Marie LiveGet tickets as low as $56You might also like",[Chorus],"Write the [Chorus] of a song titled ""Bad Girlfriend"" in the style of ""Anne-Marie"". Generate only 4 sentences.","Write the [Chorus] of a song titled ""Bad Girlfriend"" in the style of ""Anne-Marie"". Generate only 4 sentences.","(Chorus)
But you're stuck in her orbit, a satellite in the night
She's got a hold on your heart, a venomous delight
You're caught in her web of whispers, secrets in the night
Bad girlfriend, bad girlfriend, won't let you see the light.",46
Anne-Marie,Bad Girlfriend,[Post-Chorus],"I'm a, I'm a, I'm a
I'm a bad bad girl
I'm a, I'm a
I'm a bad bad girl, girlfriend (haha)
I'm a, I'm a, I'm a
I'm a bad bad girl
I'm a, I'm a
I'm a bad bad girl, girlfriend, yeah",[Post-Chorus],"Write the [Post-Chorus] of a song titled ""Bad Girlfriend"" in the style of ""Anne-Marie"". Generate only 4 sentences.","Write the [Post-Chorus] of a song titled ""Bad Girlfriend"" in the style of ""Anne-Marie"". Generate only 4 sentences.","But you're stuck in her web of lies
Her poison whispers in your eyes
Time to break free, rise above the cries
New dawn breaking, leaving her behind.",47
